,Currency,Name,Valid Date,Bid,Ask,Source
137,TND,tunisian dinar,30/09/2025,30.3809,30.5504,ferates_vs
138,TMT,new manat,30/09/2025,25.3856,25.4397,ferates_vs
139,TRY,turkish lira,30/09/2025,2.1293,2.1472,ferates_vs
140,UGX,ugandan shilling,30/09/2025,0.0254,0.0255,ferates_vs
141,UZS,uzbekistan sum,30/09/2025,0.0074,0.0074,ferates_vs
142,UYU,uruguayan peso,30/09/2025,2.2239,2.2287,ferates_vs
143,FJD,fijian dollar,30/09/2025,38.2001,39.3472,ferates_vs
144,PHP,philippine peso,30/09/2025,1.5255,1.5296,ferates_vs
145,FKP,falkland islands,30/09/2025,118.5484,119.5382,ferates_vs
146,HRK,croatian kuna,30/09/2025,13.7581,13.8592,ferates_vs
147,CLP,chilean peso,30/09/2025,0.0918,0.0921,ferates_vs
148,LKR,sri lanka rupee,30/09/2025,0.2929,0.2936,ferates_vs
149,ERN,the eritrean nakfa,30/09/2025,5.9081,5.9207,ferates_vs
150,ETB,ethiopian birr,30/09/2025,0.612,0.6139,ferates_vs
151,ZAR,south african rand,30/09/2025,5.0906,5.149,ferates_vs
152,SSP,south sudanese pound,30/09/2025,0.0191,0.0197,ferates_vs
153,JMD,jamaican dollar,30/09/2025,0.5566,0.5578,ferates_vs
