,Currency,Name,Valid Date,Bid,Ask,Source
116,RON,romanian leu,30/09/2025,1.2208,1.2385,ferates_vs
117,SVC,salvadoran colon,30/09/2025,0.6062,0.6111,ferates_vs
118,WST,samoa tala,30/09/2025,1.8553,1.9748,ferates_vs
119,STD,good sao tome and principe,30/09/2025,0.0003,0.0003,ferates_vs
120,SAR,saudi arabian riyal,30/09/2025,1.414,1.4259,ferates_vs
121,SZL,swaziland lilageni,30/09/2025,0.3047,0.31,ferates_vs
122,SHP,saint helena pound,30/09/2025,7.095,7.1976,ferates_vs
123,SCR,seychelles rupee,30/09/2025,0.3643,0.3673,ferates_vs
124,RSD,serbian dinar,30/09/2025,0.053,0.0536,ferates_vs
125,SYP,syrian pound,30/09/2025,0.0008,0.0008,ferates_vs
126,SBD,solomon islands dollar,30/09/2025,0.6282,0.6735,ferates_vs
127,SOS,somali shilling,30/09/2025,0.0093,0.0094,ferates_vs
128,SDG,sudanese pound,30/09/2025,0.0088,0.0089,ferates_vs
129,SRD,surinamese dollar,30/09/2025,0.1401,0.1428,ferates_vs
130,SLL,sierra leone leone,30/09/2025,0.0002,0.0002,ferates_vs
131,TJS,tajik somoni,30/09/2025,0.5643,0.569,ferates_vs
132,THB,thai baht,30/09/2025,0.1643,0.1662,ferates_vs
133,TWD,taiwan dollar,30/09/2025,0.174,0.1756,ferates_vs
134,TZS,tanzanian shilling,30/09/2025,0.0021,0.0022,ferates_vs
135,TOP,tonga pa'ang,30/09/2025,2.1558,2.2777,ferates_vs
136,TTD,trinidad and tobago dollar,30/09/2025,0.7909,0.7974,ferates_vs
137,TND,tunisian dinar,30/09/2025,1.8183,1.8395,ferates_vs
138,TMT,new manat,30/09/2025,1.5193,1.5318,ferates_vs
139,TRY,turkish lira,30/09/2025,0.1274,0.1293,ferates_vs
140,UGX,ugandan shilling,30/09/2025,0.0015,0.0015,ferates_vs
141,UZS,uzbekistan sum,30/09/2025,0.0004,0.0004,ferates_vs
142,UYU,uruguayan peso,30/09/2025,0.1331,0.1342,ferates_vs
143,FJD,fijian dollar,30/09/2025,2.2863,2.3692,ferates_vs
144,PHP,philippine peso,30/09/2025,0.0913,0.0921,ferates_vs
145,FKP,falkland islands,30/09/2025,7.095,7.1976,ferates_vs
146,HRK,croatian kuna,30/09/2025,0.8234,0.8345,ferates_vs
147,CLP,chilean peso,30/09/2025,0.0055,0.0055,ferates_vs
148,LKR,sri lanka rupee,30/09/2025,0.0175,0.0177,ferates_vs
149,ERN,the eritrean nakfa,30/09/2025,0.3536,0.3565,ferates_vs
150,ETB,ethiopian birr,30/09/2025,0.0366,0.037,ferates_vs
151,ZAR,south african rand,30/09/2025,0.3047,0.31,ferates_vs
152,SSP,south sudanese pound,30/09/2025,0.0011,0.0012,ferates_vs
153,JMD,jamaican dollar,30/09/2025,0.0333,0.0336,ferates_vs
