,Currency,Name,Valid Date,Bid,Ask,Source
123,SHP,saint helena pound,30/09/2025,55.3272,56.0203,ferates_vs
124,SCR,seychelles rupee,30/09/2025,2.8409,2.8587,ferates_vs
125,RSD,serbian dinar,30/09/2025,0.4134,0.4169,ferates_vs
126,SYP,syrian pound,30/09/2025,0.0063,0.0064,ferates_vs
127,SBD,solomon islands dollar,30/09/2025,4.8991,5.242,ferates_vs
128,SOS,somali shilling,30/09/2025,0.0728,0.0733,ferates_vs
129,SDG,sudanese pound,30/09/2025,0.0685,0.0695,ferates_vs
130,SRD,surinamese dollar,30/09/2025,1.0927,1.1113,ferates_vs
131,SLL,sierra leone leone,30/09/2025,0.0018,0.0018,ferates_vs
132,TJS,tajik somoni,30/09/2025,4.4008,4.4284,ferates_vs
133,THB,thai baht,30/09/2025,1.2809,1.2938,ferates_vs
134,TWD,taiwan dollar,30/09/2025,1.3566,1.3665,ferates_vs
135,TZS,tanzanian shilling,30/09/2025,0.0167,0.0171,ferates_vs
136,TOP,tonga pa'ang,30/09/2025,16.8107,17.728,ferates_vs
137,TTD,trinidad and tobago dollar,30/09/2025,6.1678,6.2066,ferates_vs
138,TND,tunisian dinar,30/09/2025,14.1789,14.3171,ferates_vs
139,TMT,new manat,30/09/2025,11.8476,11.922,ferates_vs
140,UGX,ugandan shilling,30/09/2025,0.0119,0.0119,ferates_vs
141,UZS,uzbekistan sum,30/09/2025,0.0034,0.0035,ferates_vs
142,UYU,uruguayan peso,30/09/2025,1.0379,1.0444,ferates_vs
143,FJD,fijian dollar,30/09/2025,17.8282,18.4397,ferates_vs
144,PHP,philippine peso,30/09/2025,0.712,0.7168,ferates_vs
145,FKP,falkland islands,30/09/2025,55.3272,56.0203,ferates_vs
146,HRK,croatian kuna,30/09/2025,6.421,6.495,ferates_vs
147,CLP,chilean peso,30/09/2025,0.0428,0.0432,ferates_vs
148,LKR,sri lanka rupee,30/09/2025,0.1367,0.1376,ferates_vs
149,ERN,the eritrean nakfa,30/09/2025,2.7573,2.7747,ferates_vs
150,ETB,ethiopian birr,30/09/2025,0.2856,0.2877,ferates_vs
151,ZAR,south african rand,30/09/2025,2.3758,2.413,ferates_vs
152,SSP,south sudanese pound,30/09/2025,0.0089,0.0092,ferates_vs
153,JMD,jamaican dollar,30/09/2025,0.2598,0.2614,ferates_vs
